Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
"1,050,000 SAR",Apartment,3,3,172 sqm,"Al Qadisiyah, Riyadh, Ar Riyadh"
"1,400,000 SAR",Full Floor,4,4,251 sqm,"Al Khalij, Riyadh, Ar Riyadh"
"978,000 SAR",Apartment,3,3,118 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"380,000 SAR",Apartment,4,3,642 sqm,"As Safa, Jeddah, Makkah Al Mukarramah"
"1,380,000 SAR",Apartment,3,3,128 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"680,000 SAR",Apartment,4,3,122 sqm,"Ar Rimal, Riyadh, Ar Riyadh"
"1,950,000 SAR",Full Floor,5,5,204 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"2,000,000 SAR",Full Floor,5,5,264 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,650,000 SAR",Full Floor,5,4,192 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,950,000 SAR",Full Floor,5,4,204 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"1,550,000 SAR",Full Floor,4,4,213 sqm,"Ishbiliyah, Riyadh, Ar Riyadh"
"1,600,000 SAR",Full Floor,3,3,223 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,150,000 SAR",Full Floor,3,3,144 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,380,000 SAR",Apartment,3,4,128 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"945,000 SAR",Apartment,3,4,120 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"2,000,000 SAR",Full Floor,5,5,264 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"320,000 SAR",Apartment,3,3,659 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,3,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"650,000 SAR",Apartment,4,3,123 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"2,000,000 SAR",Full Floor,5,5,264 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"978,000 SAR",Apartment,3,3,118 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,2,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"250,000 SAR",Apartment,2,3,706 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
